역명,degree,betweenness,closeness,pagerank,환승역,호선수,혼잡도,군집,z_betweenness,z_pagerank,z_혼잡도,BI_매개혼잡,CHI_영향력혼잡
을지로입구,0.008333333333333333,0.052534452414159626,0.0916030534351145,0.0030417836850030844,False,1,42.80128205128205,0,-0.11325799870575251,-1.0761489311897814,0.6991569152166803,0.5858989165109278,-0.37699201597310106
을지로3가,0.016666666666666666,0.07013789267450365,0.09596161535385846,0.0054464174570222415,True,2,42.08846153846154,0,0.2692821600795943,1.220293712955269,0.6397681564054358,0.9090503164850301,1.8600618693607047
을지로4가,0.0125,0.13213654778508338,0.09823986901350798,0.004087555322509741,True,2,42.16923076923076,3,1.6165742245692438,-0.07742945367403752,0.6464974582131839,2.263071682782428,0.5690680045391464
동대문역사문화공원,0.020833333333333332,0.2724958491067279,0.10152284263959391,0.006616567196339727,True,3,48.280769230769224,3,4.66672059485226,2.337795177283234,1.155681294999519,5.822401889851779,3.493476472282753
신당,0.016666666666666666,0.2649912001062628,0.10020876826722339,0.005671583704493006,True,2,48.25,3,4.503637153331261,1.4353291078377877,1.1531177514537105,5.656754904784972,2.588446859291498
상왕십리,0.008333333333333333,0.20563234708109188,0.09626955475330927,0.0031939843890788668,False,1,48.153846153846146,3,3.2137105977409735,-0.930796157983474,1.1451066778730563,4.3588172756140295,0.21431051988958227
왕십리,0.016666666666666666,0.2197286976157268,0.09291521486643438,0.00642657392135576,True,2,42.719230769230776,3,3.520038229843709,2.1563502255192932,0.6923207990945234,4.212359028938232,2.8486710246138167
한양대,0.008333333333333333,0.1262512867769144,0.0889218228973694,0.003548610047987437,False,1,37.13333333333333,3,1.488681684971182,-0.5921260888436524,0.22693083121576024,1.7156125161869422,-0.3651952576278921
뚝섬,0.008333333333333333,0.1246851547453012,0.08781558726673985,0.0036689850144570996,False,1,35.532051282051285,3,1.4546480877202077,-0.47716712523550875,0.093519752519278,1.5481678402394856,-0.38364737271623073
성수,0.008333333333333333,0.12441493159327888,0.08768724881256851,0.003623080704339506,False,1,14.519658119658128,0,1.448775871496941,-0.5210060734074724,-1.6571312558680575,-0.20835538437111656,-2.17813732927553
건대입구,0.016666666666666666,0.18298594507538013,0.08807339449541285,0.006776131753353756,True,2,50.611538461538466,1,2.721581894995431,2.490180483305714,1.34986971859456,4.071451613589991,3.840050201900274
구의,0.008333333333333333,0.12985077538686318,0.08333333333333333,0.0036488865870680258,False,1,32.51794871794871,3,1.5669021307494857,-0.49636126875690084,-0.15760070065560688,1.4093014300938789,-0.6539619694125077
강변,0.008333333333333333,0.12568120309490596,0.08,0.0037300016158800433,False,1,31.93717948717948,3,1.476293203003386,-0.41889582956507054,-0.20598758508275392,1.270305617920632,-0.6248834146478245
잠실나루,0.008333333333333333,0.12306904595869024,0.07815043959622273,0.0036657897562748145,False,1,31.652564102564103,3,1.419528446178477,-0.4802186199097649,-0.22970036288148765,1.1898280832969892,-0.7099189827912525
잠실,0.016666666666666666,0.1991029089460051,0.07717041800643087,0.006857462194269077,True,2,55.587179487179505,0,3.0718194523719613,2.5678516426141997,1.7644160728147764,4.836235525186738,4.332267715428976
잠실새내,0.008333333333333333,0.06089381184830971,0.07476635514018691,0.0037333489535440545,False,1,36.69230769230769,3,0.06839914546551223,-0.41569909788582876,0.1901867070591631,0.25858585252467536,-0.22551239082666566
종합운동장,0.008333333333333333,0.05867100850102938,0.07334963325183375,0.0038895065792317112,False,1,36.75641025641026,3,0.02009543137090146,-0.26656743592116494,0.1955274227795992,0.21562285415050064,-0.07104001314156574
삼성,0.008333333333333333,0.05900515540944407,0.07352941176470588,0.003955579541216905,False,1,38.80384615384616,0,0.02735677401257499,-0.20346727934290754,0.3661098828903137,0.3934666569028887,0.16264260354740617
선릉,0.008333333333333333,0.06126282626021116,0.07511737089201878,0.0039516690272075805,False,1,45.075641025641026,0,0.07641819342631698,-0.20720184850517945,0.8886455089777372,0.9650637024040541,0.6814436604725578
역삼,0.008333333333333333,0.06421726605565516,0.07717041800643087,0.0038795010420573425,False,1,50.656410256410254,0,0.14062109080069685,-0.27612279628920355,1.3536082195988646,1.4942293103995614,1.077485423309661
강남,0.008333333333333333,0.06838044597197317,0.08029441284710606,0.003710666519164057,False,1,54.03846153846155,3,0.2310911059049566,-0.43736098677276297,1.6353843810090503,1.8664754869140068,1.1980233942362872
교대,0.016666666666666666,0.16937562263399095,0.08438818565400844,0.006776486542553442,True,2,56.08333333333334,3,2.4258161338232997,2.49051930955748,1.8057532124909477,4.231569346314247,4.296272522048428
서초,0.008333333333333333,0.10474521817095038,0.08174386920980926,0.0036473154569575407,False,1,56.158974358974355,3,1.021333554281797,-0.4978617093758432,1.8120552570410606,2.8333888113228576,1.3141935476652176
방배,0.008333333333333333,0.10269965796639433,0.08037508372404555,0.003730476565514637,False,1,56.27820512820512,3,0.9768815088927687,-0.4184422492288908,1.8219889882810707,2.7988704971738394,1.4035467390521799
사당,0.016666666666666666,0.1203385468552832,0.07992007992007992,0.007328616266112621,True,2,54.53461538461537,1,1.3601920014192317,3.017807188915774,1.6767215206852204,3.0369135221044523,4.694528709600995
낙성대,0.008333333333333333,0.051936308693630875,0.07530593034201444,0.0038670345447112398,False,1,51.39102564102564,1,-0.12625625304942104,-0.2880283914205038,1.4148128217550575,1.2885565687056364,1.1267844303345538
서울대입구,0.008333333333333333,0.046322640632264094,0.07168458781362007,0.003968376408001364,False,1,48.03846153846155,1,-0.24824680942953573,-0.1912461790085323,1.1354933895762735,0.8872465801467379,0.9442472105677413
봉천,0.008333333333333333,0.04140051139005116,0.06868918145392101,0.004007628733073688,False,1,45.18333333333334,1,-0.35520954364688334,-0.15375992466625946,0.8976179113880693,0.542408367741186,0.7438579867218099
신림,0.008333333333333333,0.03779753602975361,0.06655574043261231,0.003995030458952287,False,1,42.082051282051296,1,-0.4335057599571025,-0.1657913675710643,0.6392340848333935,0.205728324876291,0.4734427172623292
신대방,0.008333333333333333,0.0368171780567178,0.06628003314001657,0.003929699141166095,False,1,40.17948717948718,1,-0.4548099078466735,-0.2281832485752237,0.48072164225086256,0.025911734404189035,0.25253839367563885
구로디지털단지,0.008333333333333333,0.03787366341236631,0.06687099470604625,0.0037851540622591898,False,1,42.16282051282053,1,-0.4318514366770003,-0.3662248443748209,0.6459633866411428,0.2141119499641425,0.27973854226632194
대림,0.016666666666666666,0.09735878661087866,0.06820119352088662,0.007027238966513556,True,2,44.39487179487181,1,0.8608190946047137,2.729989688043105,0.831927108026712,1.6927462026314257,3.561916796069817
신도림,0.008333333333333333,0.07472977684797769,0.06882707198164612,0.003651836838057372,False,1,28.071153846153848,0,0.3690683424885973,-0.4935437577239517,-0.5280861501822273,-0.15901780769362994,-1.021629907906179
문래,0.008333333333333333,0.07671722454672246,0.06997084548104957,0.003616313275457743,False,1,46.23589743589744,0,0.41225754567907297,-0.5274690169359789,0.9853124635176229,1.3975700091966958,0.457843446581644
영등포구청,0.016666666666666666,0.09531870558544196,0.07155635062611806,0.006780799142067363,True,2,45.437179487179485,2,0.8164861171944064,2.494637873284783,0.918767145640994,1.7352532628354005,3.4134050189257774
당산,0.008333333333333333,0.033789516503951636,0.069164265129683,0.0035112894622847386,False,1,45.31538461538462,0,-0.5206039863912286,-0.6277675181163442,0.9086197857721672,0.38801579938093855,0.28085226765582294
합정,0.016666666666666666,0.06640275287241816,0.07073386383731212,0.006808702174281873,True,2,43.54615384615386,0,0.1881138797978098,2.521285470862417,0.7612160318881435,0.9493299116859533,3.28250150275056
홍대입구,0.008333333333333333,0.028841983794912686,0.0711743772241993,0.003678817819569448,False,1,41.23076923076924,0,-0.6281187630553708,-0.4677767252360097,0.5683093800660077,-0.059809382989363113,0.10053265482999801
신촌,0.008333333333333333,0.03166625157733947,0.07283763277693475,0.0037852156868053654,False,1,41.95641025641026,3,-0.5667446322057476,-0.3661659924875146,0.6287662820213387,0.06202164981559111,0.2626002895338241
이대,0.008333333333333333,0.036431477053861995,0.07606973058637084,0.0037644173336789195,False,1,41.72435897435897,0,-0.46319157192449084,-0.3860285701504126,0.6094328911133612,0.14624131918887034,0.2234043209629486
아현,0.008333333333333333,0.0418359400943083,0.08,0.0036071379743778764,False,1,42.41410256410256,0,-0.3457472474591625,-0.5362314958289635,0.666898992265249,0.32115174480608644,0.1306674964362855
충정로,0.016666666666666666,0.08547818290496101,0.08480565371024736,0.006516829893562825,True,2,43.02692307692308,0,0.6026418314724732,2.2425453317666095,0.7179562345526144,1.3205980660250876,2.960501566319224
용답,0.008333333333333333,0.051571196121405316,0.08543965824136704,0.0034645906990151795,False,1,17.966666666666665,2,-0.13419051017689473,-0.6723651747944338,-1.3699431691944988,-1.5041336793713935,-2.0423083439889327
신답,0.008333333333333333,0.054651158929401596,0.08859357696567,0.003428482559623004,False,1,16.353846153846153,2,-0.06725987365364314,-0.7068487090713804,-1.5043155767206597,-1.571575450374303,-2.21116428579204
도림천,0.008333333333333333,0.016114597861459787,0.08727272727272728,0.003530001808448299,False,1,28.230769230769237,2,-0.904697441080794,-0.6098970921903536,-0.5147877680383421,-1.4194852091191361,-1.1246848602286956
양천구청,0.008333333333333333,0.011314504881450489,0.0831889081455806,0.0037031180112901316,False,1,25.64230769230769,2,-1.0090082066811823,-0.4445698663880529,-0.7304458688295344,-1.7394540755107166,-1.1750157352175874
신정네거리,0.008333333333333333,0.00833042770804277,0.08061807188444743,0.003718812222168091,False,1,19.79102564102564,2,-1.0738551535768233,-0.4295817814889177,-1.2179463997909001,-2.2918015533677236,-1.6475281812798177
용두,0.008333333333333333,0.009489772198977219,0.08034817542684969,0.0035823353962299857,False,1,14.638461538461538,2,-1.0486614517157127,-0.5599181373484864,-1.6472331293995177,-2.6958945811152306,-2.207151266748004
까치산,0.016666666666666666,0.139899714418543,0.0857449088960343,0.006492440542036155,True,2,31.797435897435907,2,1.7852755098135127,2.2192533246590744,-0.21763034535330233,1.5676451644602103,2.0016229793057723
지축,0.004166666666666667,0.0,0.05398110661268556,0.0023775564411979955,False,1,32.25512820512821,1,-1.2548835827392406,-1.7104907531446902,-0.1794976351093923,-1.4343812178486328,-1.8899883882540824
구파발,0.008333333333333333,0.008333333333333333,0.0570477775136677,0.004129966211448278,False,1,23.87179487179488,1,-1.0737920114668957,-0.03692674799475451,-0.8779564370279661,-1.951748448494862,-0.9148831850227206
연신내,0.016666666666666666,0.04046440193929732,0.060453400503778336,0.006995020045458975,True,2,27.493589743589745,1,-0.37555212740527194,2.6992203854079047,-0.5762059988233525,-0.9517581262286245,2.1230143865845523
불광,0.016666666666666666,0.060978116490668775,0.0627779230970442,0.006986634706312548,True,2,33.11282051282051,1,0.0702311686835549,2.69121232587487,-0.10803885876996365,-0.037807690086408746,2.5831734671049063
녹번,0.008333333333333333,0.06331423922428105,0.06541291905151267,0.0037562111544845044,False,1,34.532051282051285,1,0.12099742506534193,-0.39386553063347474,0.010204587280481868,0.1312020123458238,-0.3836609433529929
홍제,0.008333333333333333,0.06931726107458325,0.06847360912981455,0.0038805572933680622,False,1,37.4448717948718,1,0.2514490241757553,-0.2751140686479735,0.2528867096170781,0.5043357337928334,-0.0222273590308954
무악재,0.008333333333333333,0.07614548050740519,0.07270524083611027,0.003909772176371623,False,1,39.246153846153845,1,0.39983298250560556,-0.24721364407864316,0.4029608213613192,0.8027938038669248,0.15574717728267606
