년월,역명_표준,출근_승차,퇴근_하차,일평균_승차,일평균_하차,호선목록
2015-01-01,암사,174060,117786,540583,481213,8호선
2015-01-01,압구정,54395,144582,1225296,1343724,3호선
2015-01-01,애오개,32558,28549,184050,188538,5호선
2015-01-01,약수,85519,92260,562842,539223,"3호선,6호선"
2015-01-01,양재,93587,164058,1285276,1372334,3호선
2015-01-01,양천구청,63067,50816,220145,233614,2호선
2015-01-01,양평,36894,28848,188280,191526,5호선
2015-01-01,어린이대공원,53338,55997,418429,410742,7호선
2015-01-01,여의나루,13891,22899,214097,230306,5호선
2015-01-01,여의도,24765,61513,675633,734073,5호선
2015-01-01,역삼,47289,130806,1491132,1630624,2호선
2015-01-01,역촌,31465,28682,112586,128420,6호선
2015-01-01,연신내,328186,281909,1252664,1182957,"3호선,6호선"
2015-01-01,영등포구청,108339,110636,772940,770163,"2호선,5호선"
2015-01-01,영등포시장,24805,31851,246721,266709,5호선
2015-01-01,오금,77495,51438,326590,301766,"3호선,5호선"
2015-01-01,오목교,108253,153246,811847,859535,5호선
2015-01-01,옥수,66321,69310,315350,326432,3호선
2015-01-01,온수,117991,73684,314924,293539,7호선
2015-01-01,올림픽공원,25169,26929,182529,175959,5호선
2015-01-01,왕십리,100110,148129,764613,718232,"2호선,5호선"
2015-01-01,용답,22079,18116,75320,76213,2호선
2015-01-01,용두,11785,12317,68005,73166,2호선
2015-01-01,용마산,60922,39472,190879,179941,7호선
2015-01-01,우장산,128822,104436,477225,465320,5호선
2015-01-01,월곡,89767,73398,366553,350370,6호선
2015-01-01,월드컵경기장,22336,29492,191012,200024,6호선
2015-01-01,을지로3가,18368,54866,885041,917636,"2호선,3호선"
2015-01-01,을지로4가,11097,28435,555723,571477,"2호선,5호선"
2015-01-01,을지로입구,24487,146887,1621261,1614415,2호선
2015-01-01,응암,155071,124310,524032,508662,6호선
2015-01-01,이대,68906,94065,655263,675884,2호선
2015-01-01,이수,78001,107121,539840,531809,7호선
2015-01-01,이촌,31318,41268,307143,337390,4호선
2015-01-01,이태원,32702,109554,489706,542933,6호선
2015-01-01,일원,43857,37429,294063,308511,3호선
2015-01-01,잠실,376827,431497,2827689,2636313,"2호선,8호선"
2015-01-01,잠실나루,120492,93779,561253,537108,2호선
2015-01-01,잠원,38347,31847,180590,175307,3호선
2015-01-01,장승배기,77402,64212,334105,322734,7호선
2015-01-01,장암,30405,4507,72524,25589,7호선
2015-01-01,장지,56636,56396,385076,370788,8호선
2015-01-01,장한평,108860,97716,561690,564744,5호선
2015-01-01,제기동,51422,51110,624857,642319,1호선
2015-01-01,종각,24128,175736,1552646,1479096,1호선
2015-01-01,종로3가,34072,199046,1975949,1999221,"1호선,3호선,5호선"
2015-01-01,종로5가,15339,72787,876407,874492,1호선
2015-01-01,종합운동장,66595,79875,391130,407204,2호선
2015-01-01,중계,139719,94108,480130,434004,7호선
2015-01-01,중곡,82113,59552,311985,287921,7호선
2015-01-01,중화,93152,74753,368818,349864,7호선
2015-01-01,증산,91634,71016,321367,301702,6호선
2015-01-01,지축,9937,8612,36548,39352,3호선
2015-01-01,창동,213268,215408,932447,1007976,4호선
2015-01-01,창신,29731,15304,93538,75423,6호선
2015-01-01,천왕,73304,48865,238946,216375,7호선
2015-01-01,천호,199067,294874,1322301,1419051,"5호선,8호선"
2015-01-01,철산,211729,196160,774515,775459,7호선
2015-01-01,청구,35679,35136,230740,231276,"5호선,6호선"
2015-01-01,청담,41988,65524,727656,823501,7호선
2015-01-01,청량리,119462,140377,933290,951923,1호선
2015-01-01,총신대입구,131755,176050,705946,783199,4호선
2015-01-01,춘의,38721,31323,221251,215164,7호선
2015-01-01,충무로,28689,87259,1000920,1040775,"3호선,4호선"
2015-01-01,충정로,58489,64642,485585,512903,"2호선,5호선"
2015-01-01,태릉입구,86685,76918,405341,401398,"6호선,7호선"
2015-01-01,하계,156765,124594,629938,591398,7호선
2015-01-01,학동,26004,51039,742550,813745,7호선
2015-01-01,학여울,9548,11594,108617,110588,3호선
2015-01-01,한강진,8697,34276,179701,212489,6호선
2015-01-01,한성대입구,83029,77182,470078,452047,4호선
2015-01-01,한양대,17967,25802,260518,288529,2호선
2015-01-01,합정,161695,267258,1427294,1410088,"2호선,6호선"
2015-01-01,행당,76786,54274,259169,227018,5호선
2015-01-01,혜화,46221,222406,1369000,1427724,4호선
2015-01-01,홍대입구,190965,512074,2322395,2480866,2호선
2015-01-01,홍제,155348,124573,610830,572949,3호선
2015-01-01,화곡,267156,209412,886058,814520,5호선
2015-01-01,화랑대,127196,66483,374051,286179,6호선
2015-01-01,회현,16252,42650,881423,938046,4호선
2015-01-01,효창공원앞,40558,33090,238040,228589,6호선
2015-02-01,가락시장,54779,63688,412767,421161,"3호선,8호선"
2015-02-01,가산디지털단지,35717,67878,1086711,1086174,7호선
2015-02-01,강남,130412,454003,2889402,2937327,2호선
2015-02-01,강남구청,20016,41072,459325,496162,7호선
2015-02-01,강동,124259,81473,511180,430396,5호선
2015-02-01,강동구청,62150,53161,273893,283141,8호선
2015-02-01,강변,217519,263361,1413084,1416940,2호선
2015-02-01,개롱,39595,32803,181850,180145,5호선
2015-02-01,개화산,38364,26415,157700,144879,5호선
2015-02-01,거여,49676,36716,192417,179772,5호선
2015-02-01,건대입구,189674,398221,1669305,1815776,"2호선,7호선"
2015-02-01,경복궁,35089,60446,604548,651371,3호선
2015-02-01,경찰병원,39617,31496,193675,191363,3호선
2015-02-01,고덕,40655,38374,224540,223534,5호선
2015-02-01,고려대,47651,36342,237558,233248,6호선
2015-02-01,고속터미널,106054,338070,2322758,2302762,"3호선,7호선"
2015-02-01,공덕,78682,115700,787766,795735,"5호선,6호선"
2015-02-01,공릉,73142,63945,327096,324335,7호선
2015-02-01,광나루,82546,60652,389344,350957,5호선
2015-02-01,광명사거리,208680,166041,749048,721385,7호선
2015-02-01,광화문,24632,91994,929134,957185,5호선
2015-02-01,광흥창,35461,33001,240010,231770,6호선
2015-02-01,교대,80068,170779,1347225,1353865,"2호선,3호선"
2015-02-01,구로디지털단지,301789,284465,1688233,1695883,2호선
2015-02-01,구산,52697,31958,202889,154797,6호선
2015-02-01,구의,150653,125591,626484,617602,2호선
2015-02-01,구파발,136209,71726,434800,350675,3호선
2015-02-01,군자,147233,129362,669843,602114,"5호선,7호선"
2015-02-01,굴포천,56888,50208,217345,221864,7호선
2015-02-01,굽은다리,65761,53009,256782,240323,5호선
2015-02-01,금호,51765,40161,209713,193437,3호선
2015-02-01,길동,46300,45670,202524,214033,5호선
2015-02-01,길음,188188,142676,715569,677946,4호선
2015-02-01,김포공항,12706,25184,217074,190833,5호선
2015-02-01,까치산,244749,182671,795259,755281,5호선
2015-02-01,까치울,38793,27079,134504,119344,7호선
2015-02-01,낙성대,196606,158248,797969,765194,2호선
2015-02-01,남구로,72154,65203,452996,466834,7호선
2015-02-01,남부터미널,63355,138669,1004433,1038268,3호선
2015-02-01,남성,81072,59739,301935,279221,7호선
2015-02-01,남태령,4361,4009,34922,25908,4호선
2015-02-01,남한산성입구,106816,66552,365301,327004,8호선
2015-02-01,내방,40405,47569,367022,379946,7호선
2015-02-01,노원,185103,269741,1240449,1358721,"4호선,7호선"
2015-02-01,녹번,116470,75593,397927,344074,3호선
2015-02-01,녹사평,13005,36657,188576,208175,6호선
2015-02-01,논현,29389,70767,526128,578679,7호선
2015-02-01,단대오거리,88572,67034,329987,309295,8호선
2015-02-01,답십리,108968,80372,435040,401609,5호선
2015-02-01,당고개,91046,64393,359255,337590,4호선
2015-02-01,당산,113523,112883,587483,636259,2호선
2015-02-01,대림,218074,209496,1181825,1220575,"2호선,7호선"
2015-02-01,대청,61516,45658,290506,255809,3호선
2015-02-01,대치,45420,46934,320219,298603,3호선
2015-02-01,대흥,29431,32983,210297,222706,6호선
2015-02-01,도곡,29106,26317,201010,184589,3호선
2015-02-01,도림천,4077,3298,24216,27038,2호선
2015-02-01,도봉산,94242,51393,302727,284109,7호선
2015-02-01,독립문,29970,27059,194578,197533,3호선
2015-02-01,독바위,23440,17317,75430,82867,6호선
2015-02-01,돌곶이,68471,48185,248299,226890,6호선
2015-02-01,동대문,49059,109914,1072568,1152771,"1호선,4호선"
2015-02-01,동대문역사문화공원,38578,141723,1167164,1186275,"2호선,4호선,5호선"
2015-02-01,동대입구,13694,30713,268874,299408,3호선
2015-02-01,동묘앞,31669,47264,511769,524268,"1호선,6호선"
2015-02-01,동작,9841,9546,58559,61246,4호선
2015-02-01,둔촌동,81985,71784,348231,350223,5호선
2015-02-01,디지털미디어시티,93226,70867,385474,418157,6호선
2015-02-01,뚝섬,57540,58548,392432,410615,2호선
2015-02-01,뚝섬유원지,49893,40644,207947,199846,7호선
2015-02-01,마곡,24967,13307,72376,60146,5호선
2015-02-01,마들,103685,66226,327168,297206,7호선
2015-02-01,마장,31824,28362,168250,162873,5호선
2015-02-01,마천,45760,33468,163541,166443,5호선
2015-02-01,마포,48821,64338,369103,386427,5호선
2015-02-01,마포구청,75177,52449,358106,312209,6호선
2015-02-01,망원,59432,63453,312420,333774,6호선
2015-02-01,매봉,31462,34967,308316,291242,3호선
2015-02-01,먹골,71942,58688,279272,268019,7호선
2015-02-01,면목,116154,86265,398346,383750,7호선
2015-02-01,명동,14744,153151,1159858,1268388,4호선
2015-02-01,명일,62559,55335,248033,245672,5호선
2015-02-01,모란,13392,13564,124228,92877,8호선
2015-02-01,목동,125026,119550,499887,521447,5호선
2015-02-01,몽촌토성,20576,25456,167451,177989,8호선
2015-02-01,무악재,31205,24233,115880,113424,3호선
2015-02-01,문래,76602,69339,497344,500729,2호선
2015-02-01,문정,27190,22740,146493,140701,8호선
2015-02-01,미아,121189,90903,502114,456823,4호선
2015-02-01,미아사거리,210125,198239,911384,882744,4호선
2015-02-01,반포,19450,20828,172210,162604,7호선
2015-02-01,발산,43073,48168,283537,280490,5호선
2015-02-01,방배,61477,72904,513227,517746,2호선
2015-02-01,방이,29796,32921,184873,187281,5호선
2015-02-01,방화,50849,38336,197252,188786,5호선
2015-02-01,버티고개,11511,10959,63128,62536,6호선
2015-02-01,보라매,44694,41526,252003,251314,7호선
2015-02-01,보문,52398,34967,216639,192249,6호선
2015-02-01,복정,31856,17031,182530,133545,8호선
2015-02-01,봉천,169775,127352,647855,601333,2호선
2015-02-01,봉화산,75154,50879,246687,232610,6호선
2015-02-01,부천시청,60885,67719,317311,322050,7호선
2015-02-01,부천종합운동장,38770,25374,132954,121919,7호선
2015-02-01,부평구청,90600,47917,299137,226621,7호선
2015-02-01,불광,131818,133473,648626,685349,"3호선,6호선"
2015-02-01,사가정,110859,97099,443855,430070,7호선
2015-02-01,사당,317489,429764,1998313,1947785,"2호선,4호선"
2015-02-01,산성,56988,40937,190929,185488,8호선
2015-02-01,삼각지,28533,39428,338170,330329,"4호선,6호선"
2015-02-01,삼산체육관,38588,27222,139380,127383,7호선
2015-02-01,삼성,49139,148758,1663264,1685289,2호선
2015-02-01,상계,165990,114076,591055,532482,4호선
2015-02-01,상도,68374,52961,289439,272118,7호선
2015-02-01,상동,60898,68929,355335,362616,7호선
2015-02-01,상봉,101306,88844,476177,444869,7호선
2015-02-01,상수,24615,63604,261646,300963,6호선
2015-02-01,상왕십리,53792,42462,264060,253626,2호선
2015-02-01,상월곡,47089,29996,163419,146333,6호선
2015-02-01,상일동,105649,62426,324216,274371,5호선
2015-02-01,새절,94762,70165,337002,321705,6호선
2015-02-01,서대문,30646,39627,417719,429172,5호선
2015-02-01,서울대입구,284281,269796,1383907,1358969,2호선
2015-02-01,서울역,161783,296107,2187710,2205805,"1호선,4호선"
2015-02-01,서초,35938,56531,581283,587489,2호선
2015-02-01,석계,97197,82338,348621,347585,6호선
2015-02-01,석촌,47741,45551,243513,254449,8호선
2015-02-01,선릉,60908,112817,1443309,1257292,2호선
2015-02-01,성수,51212,63511,625103,679978,2호선
2015-02-01,성신여대입구,112318,122982,682190,631140,4호선
2015-02-01,송정,59430,55660,283129,281544,5호선
2015-02-01,송파,23020,22562,138271,141196,8호선
2015-02-01,수락산,95339,74065,389739,373070,7호선
2015-02-01,수서,58091,55122,322878,329972,3호선
2015-02-01,수유,284849,255357,1203024,1172753,4호선
2015-02-01,수진,28326,24105,141414,131165,8호선
2015-02-01,숙대입구,44521,63343,425278,415581,4호선
2015-02-01,숭실대입구,88606,73846,369117,361685,7호선
2015-02-01,시청,26565,79485,1260097,1226504,"1호선,2호선"
2015-02-01,신금호,31290,27586,138032,141175,5호선
2015-02-01,신길,17703,14642,74779,86931,5호선
2015-02-01,신답,10264,9863,33544,38567,2호선
2015-02-01,신당,66513,92704,598896,622258,"2호선,6호선"
2015-02-01,신대방,192370,142466,729790,702495,2호선
2015-02-01,신대방삼거리,104645,82850,419366,397855,7호선
2015-02-01,신도림,290213,344126,1771830,1760210,2호선
2015-02-01,신림,495927,445219,1953398,1916783,2호선
2015-02-01,신사,32828,138158,856522,921692,3호선
2015-02-01,신설동,51236,58305,541509,522894,"1호선,2호선"
2015-02-01,신용산,21499,42914,349149,375004,4호선
2015-02-01,신정,132109,70591,372594,302561,5호선
2015-02-01,신정네거리,84448,67624,287662,285875,2호선
2015-02-01,신중동,70540,68528,357401,353674,7호선
2015-02-01,신천,137561,161874,718296,707776,2호선
2015-02-01,신촌,99732,257657,1412784,1434050,2호선
2015-02-01,신풍,77866,62124,321227,304647,7호선
2015-02-01,신흥,31758,32272,149681,154838,8호선
2015-02-01,쌍문,256604,174545,895496,770705,4호선
2015-02-01,아차산,87160,71584,385843,363452,5호선
2015-02-01,아현,42589,38004,232594,221490,2호선
2015-02-01,안국,16747,49653,700632,766895,3호선
2015-02-01,안암,21445,44819,315915,321527,6호선
2015-02-01,암사,143995,97357,457336,407823,8호선
2015-02-01,압구정,44665,122369,1014584,1113472,3호선
2015-02-01,애오개,27855,23908,158476,160191,5호선
2015-02-01,약수,72918,78285,480756,461711,"3호선,6호선"
2015-02-01,양재,78492,136439,1079202,1147235,3호선
2015-02-01,양천구청,52398,41710,188795,199786,2호선
2015-02-01,양평,31126,24487,159564,161063,5호선
2015-02-01,어린이대공원,44408,47352,350261,344221,7호선
2015-02-01,여의나루,11792,20153,190242,200456,5호선
2015-02-01,여의도,21149,51744,561445,607090,5호선
2015-02-01,역삼,39875,109765,1230620,1339788,2호선
2015-02-01,역촌,26371,23821,95951,109665,6호선
2015-02-01,연신내,275051,234413,1089946,1031521,"3호선,6호선"
2015-02-01,영등포구청,90116,92227,653532,651675,"2호선,5호선"
2015-02-01,영등포시장,20987,27428,210202,227822,5호선
2015-02-01,오금,64336,42491,276271,255441,"3호선,5호선"
2015-02-01,오목교,89396,131678,698230,740423,5호선
2015-02-01,옥수,55404,56775,269446,277798,3호선
2015-02-01,온수,97318,60560,272891,258103,7호선
2015-02-01,올림픽공원,20595,21348,162670,160403,5호선
2015-02-01,왕십리,82781,125095,651476,613278,"2호선,5호선"
2015-02-01,용답,18601,14525,64834,64346,2호선
2015-02-01,용두,9761,10512,60658,65036,2호선
2015-02-01,용마산,50342,32403,163826,156221,7호선
2015-02-01,우장산,106518,87053,414565,406280,5호선
2015-02-01,월곡,74508,60521,315151,302556,6호선
2015-02-01,월드컵경기장,17113,27090,165021,173619,6호선
2015-02-01,을지로3가,16606,48284,740586,763173,"2호선,3호선"
2015-02-01,을지로4가,10035,26714,477602,491592,"2호선,5호선"
2015-02-01,을지로입구,20781,131956,1418121,1394558,2호선
2015-02-01,응암,130144,103909,452072,441925,6호선
2015-02-01,이대,57149,82220,592885,614764,2호선
2015-02-01,이수,65767,89172,457395,451778,7호선
2015-02-01,이촌,26373,34167,246647,272590,4호선
2015-02-01,이태원,28244,97749,442785,492720,6호선
2015-02-01,일원,36504,31383,248105,261379,3호선
2015-02-01,잠실,310597,368450,2478669,2316668,"2호선,8호선"
2015-02-01,잠실나루,98240,78626,473703,453551,2호선
2015-02-01,잠원,32216,26544,152324,147682,3호선
2015-02-01,장승배기,65029,53857,288300,278097,7호선
2015-02-01,장암,24597,3660,61533,21941,7호선
2015-02-01,장지,48057,47772,330372,319009,8호선
2015-02-01,장한평,90766,80980,477503,478381,5호선
2015-02-01,제기동,44541,45272,567419,588452,1호선
2015-02-01,종각,19841,141876,1271236,1199408,1호선
2015-02-01,종로3가,29381,166752,1638019,1647073,"1호선,3호선,5호선"
2015-02-01,종로5가,13482,63047,740282,741590,1호선
2015-02-01,종합운동장,55273,60036,319895,333948,2호선
2015-02-01,중계,116679,77184,414837,376594,7호선
2015-02-01,중곡,68795,49826,271333,251615,7호선
2015-02-01,중화,79201,62463,317625,301658,7호선
2015-02-01,증산,77225,58599,276750,259855,6호선
2015-02-01,지축,8581,7006,31758,33789,3호선
2015-02-01,창동,178448,181622,811896,876026,4호선
2015-02-01,창신,25351,12574,82091,66448,6호선
2015-02-01,천왕,61475,41037,209092,190752,7호선
2015-02-01,천호,165648,248326,1130685,1216227,"5호선,8호선"
2015-02-01,철산,174532,162530,663339,664286,7호선
2015-02-01,청구,30498,29430,201752,200800,"5호선,6호선"
2015-02-01,청담,34868,54870,613097,693003,7호선
2015-02-01,청량리,100765,122859,823622,847144,1호선
2015-02-01,총신대입구,109930,145223,604762,672378,4호선
2015-02-01,춘의,33589,26782,192308,187106,7호선
2015-02-01,충무로,24149,74349,845836,876055,"3호선,4호선"
2015-02-01,충정로,48680,55307,411952,434091,"2호선,5호선"
2015-02-01,태릉입구,70990,63351,341103,336976,"6호선,7호선"
2015-02-01,하계,130334,104082,545635,512036,7호선
2015-02-01,학동,22331,43843,615361,672132,7호선
2015-02-01,학여울,8154,9610,107295,109658,3호선
2015-02-01,한강진,7301,26629,152670,181565,6호선
2015-02-01,한성대입구,68842,64464,409167,394887,4호선
2015-02-01,한양대,14542,21597,217394,250156,2호선
2015-02-01,합정,134053,222327,1227638,1211369,"2호선,6호선"
2015-02-01,행당,64646,44732,220290,193011,5호선
2015-02-01,혜화,39060,179473,1148886,1203535,4호선
2015-02-01,홍대입구,157666,441323,2076557,2224332,2호선
2015-02-01,홍제,129100,103059,527616,495602,3호선
2015-02-01,화곡,220768,173001,757253,697277,5호선
2015-02-01,화랑대,104401,54291,314940,241143,6호선
2015-02-01,회현,14501,37893,742490,784598,4호선
2015-02-01,효창공원앞,34124,27924,201287,192900,6호선
2015-03-01,가락시장,77537,78805,501453,510559,"3호선,8호선"
2015-03-01,가산디지털단지,46548,83343,1329605,1343004,7호선
2015-03-01,강남,172786,549573,3316663,3362775,2호선
2015-03-01,강남구청,28060,53177,571943,622916,7호선
2015-03-01,강동,177125,104560,654412,546170,5호선
2015-03-01,강동구청,88732,68768,349382,360774,8호선
